Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpIntrRew	LossIntrRew	DeltaLossIntrRew	TotalEnvInteracts	AverageVValsExtr	StdVValsExtr	MaxVValsExtr	MinVValsExtr	AverageVValsIntr	StdVValsIntr	MaxVValsIntr	MinVValsIntr	LossVExtr	LossVIntr	DeltaLossVExtr	DeltaLossVIntr	LossPi	DeltaLossPi	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	200.0	257.88828	0.8729196	-0.00035541397	4000	-0.073908724	0.0054171416	-0.057428434	-0.091864064	0.33992624	0.002330055	0.34661943	0.331223	3084.8433	6535.7134	-815.5501	-996.0701	-8.51495e-09	-0.0036481267	1.0914526	0.008539709	0.045112785	79.0	2.304802179336548
1	-200.0	0.0	-200.0	-200.0	200.0	87.79657	0.8740402	-0.008626146	8000	-9.189958	0.040315513	-9.023855	-9.293842	9.372161	0.03280603	9.457263	9.23784	2030.1285	990.34393	-375.06088	-54.937267	8.0892015e-08	-0.002789235	1.0824751	0.0130362855	0.013283208	79.0	4.668016195297241
2	-200.0	0.0	-200.0	-200.0	200.0	97.4044	0.8919803	-0.013289988	12000	-14.890886	0.020844001	-14.814764	-14.938889	11.822994	0.02671553	11.887182	11.729172	1610.8625	750.5231	-245.28372	-40.337063	1.70299e-08	-0.0030752558	1.096682	0.015400084	0.053634085	37.0	6.70453405380249
3	-200.0	0.0	-200.0	-200.0	200.0	91.3039	0.88006675	-0.016751567	16000	-19.508493	0.013271331	-19.450214	-19.53467	13.869746	0.021866862	13.915095	13.778633	1342.0214	811.9502	-168.54948	-30.225647	-1.70299e-08	-0.0060042464	1.0822407	0.008120405	0.025563909	79.0	8.999293088912964
4	-200.0	0.0	-200.0	-200.0	200.0	137.81087	0.8618716	-0.008394986	20000	-23.461535	0.011992214	-23.392323	-23.48909	15.796921	0.022429137	15.852939	15.677514	1162.0116	2208.0393	-112.5984	-133.80922	-2.1287374e-08	-0.00369205	1.0624955	0.010158879	0.071177945	79.0	11.399919986724854
5	-200.0	0.0	-200.0	-200.0	200.0	301.7376	0.863643	-0.00896811	24000	-26.82375	0.012511294	-26.755924	-26.849777	19.878763	0.02159422	19.927221	19.768318	1048.724	9467.38	-61.25977	-898.75793	-4.2574747e-08	-0.0032140396	1.0726382	0.01522469	0.19548872	55.0	13.499844789505005
6	-200.0	0.0	-200.0	-200.0	200.0	352.75537	0.89223033	-0.015095072	28000	-29.429354	0.0067132497	-29.3931	-29.444077	29.32517	0.0066028005	29.339537	29.2888	1052.1907	10504.734	-13.7642565	-922.41925	-3.40598e-08	-0.004622597	1.0944878	0.01710491	0.56365913	12.0	15.371432065963745
7	-200.0	0.0	-200.0	-200.0	200.0	585.71106	0.88202137	-0.019022385	32000	-30.768503	0.0074629337	-30.736908	-30.786278	38.06367	0.004834239	38.074383	38.041946	1160.091	26559.822	-0.022199359	-1849.0586	4.257475e-09	-0.008035213	1.0796603	0.011316716	0.11729324	79.0	17.509828805923462
8	-200.0	0.0	-200.0	-200.0	200.0	285.1733	0.8421202	-0.01250448	36000	-30.905651	0.007059196	-30.869045	-30.920555	48.644886	0.0027508212	48.649956	48.62893	1372.5536	6868.2305	-10.870911	-104.53863	1.70299e-08	-0.0015131017	1.0364206	0.01546338	0.038345866	49.0	19.474669694900513
9	-200.0	0.0	-200.0	-200.0	200.0	19.917934	0.881039	-0.016066207	40000	-29.73314	0.008205522	-29.680616	-29.749979	51.53195	0.0027620336	51.5368	51.511158	1428.2097	2788.9822	-13.654271	-475.75146	-4.4703484e-08	-0.0010045457	1.0790498	0.010345199	0.0015037594	79.0	21.60155725479126
10	-200.0	0.0	-200.0	-200.0	200.0	19.808939	0.8571065	-0.0072420323	44000	-28.309893	0.010372229	-28.23317	-28.328468	46.617085	0.004054064	46.623024	46.581852	1310.9668	2321.895	-1.5018834	-447.92807	-4.2574747e-08	-0.0006509977	1.0658501	0.0015970162	0.0005012531	79.0	23.797909259796143
11	-200.0	0.0	-200.0	-200.0	200.0	27.072504	0.8449682	-0.0039101667	48000	-27.77371	0.010392056	-27.720106	-27.796923	41.45596	0.005088831	41.465897	41.42702	1219.788	1823.6808	-0.8902675	-334.3199	1.4901161e-08	-0.004956974	1.0643891	0.008700198	0.10776942	79.0	26.1989688873291
12	-200.0	0.0	-200.0	-200.0	200.0	31.716496	0.804986	-0.007859235	52000	-28.12773	0.014287064	-28.00306	-28.151142	36.95929	0.011291212	36.97635	36.854866	1152.6055	1491.0514	-5.5288696	-252.64279	7.3441434e-08	-0.0019569187	0.99580616	0.005543564	0.023809522	79.0	28.330225944519043
13	-200.0	0.0	-200.0	-200.0	200.0	26.047956	0.7949348	-0.0046422863	56000	-29.107641	0.010017096	-29.058693	-29.125084	32.989494	0.01617937	33.0188	32.91374	1095.1726	1204.6757	-9.9535	-657.9061	2.6609216e-08	-0.0044038077	0.9844076	0.013567825	0.03508772	79.0	30.51739263534546
14	-200.0	0.0	-200.0	-200.0	200.0	31.754923	0.850331	-0.01399076	60000	-30.476175	0.01100048	-30.392199	-30.497656	18.435282	0.07507509	18.61929	18.013952	959.2126	637.41174	-55.977955	-270.43213	5.9604645e-08	-0.0016911636	1.0498017	0.0031723727	0.014786968	79.0	32.820953130722046
15	-200.0	0.0	-200.0	-200.0	200.0	26.522549	0.82709354	-0.0042879838	64000	-33.74533	0.008358447	-33.687546	-33.761253	1.8160735	0.18683918	2.6327834	1.209836	866.7388	238.38208	-127.55768	-3.2154791	1.70299e-08	-0.005635384	1.0371112	0.015209725	0.024310777	16.0	34.81389117240906
16	-200.0	0.0	-200.0	-200.0	200.0	23.347204	0.8552069	-0.0119567895	68000	-38.761185	0.00619061	-38.70459	-38.774338	0.055996183	0.1356225	0.8455515	-0.43580076	734.17303	298.01077	-71.0855	-1.5060643	0.0	-0.0017144246	1.0621637	0.0138126	0.029072683	79.0	37.14065599441528
17	-200.0	0.0	-200.0	-200.0	200.0	65.96215	0.86318535	-0.02172949	72000	-42.644485	0.006521462	-42.607666	-42.65623	-1.1584809	0.24438646	-0.23842722	-1.7900784	657.3602	861.08984	-36.89623	-90.17483	2.1287374e-09	-0.0029012659	1.0738866	0.008029706	0.03984962	79.0	39.52543354034424
18	-200.0	0.0	-200.0	-200.0	200.0	213.22635	0.83779347	-0.049306445	76000	-45.488865	0.0074700247	-45.435844	-45.501354	8.207332	0.1992121	9.024366	7.562269	712.7998	9108.721	-0.14971487	-1316.5045	8.51495e-09	-0.0054523204	1.0580846	0.0058394545	0.11629073	79.0	41.681687116622925
19	-200.0	0.0	-200.0	-200.0	200.0	416.93195	0.7729315	-0.3081927	80000	-45.80752	0.006990518	-45.751266	-45.819	31.387768	0.0094606085	31.407383	31.32833	1183.8538	23942.56	-75.585655	-944.3693	-5.1089696e-08	-0.0030294976	1.0541782	0.014020699	0.04511278	79.0	43.797465801239014
