Epoch	AverageEpRet_extr	StdEpRet_extr	MaxEpRet_extr	MinEpRet_extr	EpRet_intr	EpLen	VVals_extr	VVals_intr	LossPi	LossV_extr	LossV_intr	LossRND	DeltaLossPi	DeltaLossV_extr	DeltaLossV_intr	TotalEnvInteracts	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	0.013811611	200.0	-0.07375037	0.3399742	-2.1109979e-07	3291.281	32.925198	7.968049e-05	-0.008282161	-862.79755	-19.452955	4000	1.0914601	0.010586321	0.083583586	79.0	2.3574228286743164
1	-200.0	0.0	-200.0	-200.0	0.014875278	200.0	-9.194683	4.784585	-2.3593506e-08	2717.3853	26.878378	8.1074366e-05	-0.007587444	-559.84674	-5.579785	8000	1.0925466	0.011850554	0.0	79.0	5.3299994468688965
2	-200.0	0.0	-200.0	-200.0	0.01276485	200.0	-15.5721445	7.095923	1.2541811e-07	2349.5789	8.160274	5.8972204e-05	-0.0019479682	-451.0022	-0.03670013	12000	1.0673081	0.015481231	0.07857858	55.0	8.240894556045532
3	-200.0	0.0	-200.0	-200.0	0.016955694	200.0	-21.070747	6.905609	-4.0481487e-07	2053.3035	18.082996	7.585399e-05	-0.0016612113	-392.09775	-1.349825	16000	1.0143803	0.0058280914	0.021271272	79.0	11.210045099258423
4	-200.0	0.0	-200.0	-200.0	0.02359921	200.0	-26.187492	8.068279	-2.2351742e-08	1795.9344	21.724936	9.090659e-05	-0.0015947105	-347.0651	-2.8358362	20000	1.0026116	0.0043022167	0.0	79.0	14.338517904281616
5	-200.0	0.0	-200.0	-200.0	0.010782856	200.0	-31.03574	9.76228	-1.663963e-07	1567.6879	12.5240135	4.7228667e-05	-0.0027206682	-308.85852	-4.7377086	24000	1.0457063	0.009017237	0.037537534	79.0	16.8208966255188
6	-200.0	0.0	-200.0	-200.0	0.017717991	200.0	-35.658493	7.587352	9.934108e-09	1364.6049	24.117937	8.0596896e-05	-0.0019202625	-275.23038	-1.3683475	28000	1.0351461	0.015478975	0.021521524	33.0	18.716904878616333
7	-200.0	0.0	-200.0	-200.0	0.0120142205	200.0	-40.08302	8.760708	-5.9604645e-08	1183.3099	12.655408	5.703952e-05	-0.003064405	-244.90442	-1.0371765	32000	1.0783104	0.010428977	0.056056052	79.0	21.686665058135986
8	-200.0	0.0	-200.0	-200.0	0.013171799	200.0	-44.31694	7.7320614	-1.2169282e-07	1022.0312	9.081898	6.223752e-05	-0.0057122023	-217.46228	-0.004611522	36000	1.0582104	0.012174522	0.27202204	79.0	24.35685086250305
9	-200.0	0.0	-200.0	-200.0	0.010748607	200.0	-48.371147	7.6817193	1.390775e-07	878.5909	10.559789	6.0425333e-05	-0.0030623376	-192.42249	-0.10020415	40000	0.9840281	0.004506581	0.020270271	79.0	27.13366985321045
10	-200.0	0.0	-200.0	-200.0	0.016440397	200.0	-52.249874	7.3615255	8.443991e-08	751.50854	48.102863	6.15542e-05	-0.001953975	-169.58246	-0.15501444	44000	0.9733942	0.009670745	0.041541543	79.0	30.040590524673462
11	-200.0	0.0	-200.0	-200.0	0.017684868	200.0	-55.95464	7.753452	-1.701216e-07	639.44696	15.56667	7.8743506e-05	-0.0029372228	-148.79823	-0.68362886	48000	0.89159924	0.003783729	0.05055055	79.0	32.18439817428589
